c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
D (d-1),C (pmol cell-1),N (pmol cell-1),Si (pmol cell-1),C error,N error,Si error,V (um-3),C,N,Si,C error,N error,Si error
0.08,25.32,1.96,0.96,1.35,0.08,0.03,550.19,46.02,3.56,1.75,2.46,0.11,0.05
0.12,22.1,1.84,0.95,0.21,0.04,0.07,636.24,34.74,2.88,1.51,0.33,0.07,0.11
0.24,20.19,1.98,0.62,0.64,0.08,0.03,553.94,36.45,3.58,1.13,1.16,0.14,0.05
0.32,20.94,1.84,0.48,0.38,0.04,0.02,458.44,45.68,4.02,1.04,0.82,0.09,0.05
0.5,18.7,2.33,0.39,0.03,0.1,0.04,525.22,35.59,4.45,0.74,0.05,1.19,0.08
0.65,13.59,1.61,0.26,0.38,0.11,0.06,532.97,25.48,3.01,0.49,0.72,0.21,0.11
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
